id,artista,titulo,ano,album,reproducoes
d7fdc654-c456-4988-9b21-ef2cc1253157,Los Hermanos,Anna Júlia,1999,Los Hermanos,"63,4 milhões"
9cf887b2-31eb-4c14-aae8-63b541a40dda,Turma do Pagode,Camisa 10,2010,Esse é o Clima,"57,7 milhões"
cb407207-301a-409e-ba20-37bf20ea67aa,Matuê,Máquina Do Tempo,2020,Máquina Do Tempo,"96,7 milhões"
